"series","episode","baker","baker_last_name","baker_age","baker_occupation","hometown","signature_bake","technical","result","show_stopper"
6,6,"Paul","Jagger",49,"Prison governor","Swansea, Wales","Christmas Frangipane Tart",5,"IN","Savoury and Sweet Bouchées"
6,6,"Tamal","Ray",29,"Trainee anaesthetist","Manchester","Spiced Pear Frangipane Tart",7,"IN","Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents"
6,6,"Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Plum Frangipane Tart",6,"OUT","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents"
6,6,"Mat","Riley",37,"Fire fighter","London","Piña Colada Frangipane Tart",1,"STAR BAKER","His 'n' Hers Vol-au-vents"
6,6,"Dorret","Conway",53,"Accountant","Penwortham, Lancashire",NA,NA,NA,NA
6,6,"Marie","Campbell",66,"Retired","Auchterarder, Perthshire",NA,NA,NA,NA
6,6,"Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",NA,NA,NA,NA
6,6,"Stu","Henshall",35,"Professional musician","Guildford, Surrey",NA,NA,NA,NA
6,6,"Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,7,"Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Game Pie with Shallot and Apple Chutney",4,"IN","Raspberry, Pomegranate and Champagne Charlotte Russe"
6,7,"Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Roadkill Pie",5,"IN","Victoria's Crown Charlotte Russe"
6,7,"Nadiya","Hussain",30,"Full-time mother","Leeds / Luton","Aromatic Raised Game Pie",1,"IN","Mango and Raspberry Charlotte Russe"
6,7,"Paul","Jagger",49,"Prison governor","Swansea, Wales","Not a Boaring Pie",2,"IN","Charlotte Rose"
6,7,"Mat","Riley",37,"Fire fighter","London","Raised Venison and Pigeon Pie",6,"OUT","Strawberry Charlotte Russe"
6,7,"Tamal","Ray",29,"Trainee anaesthetist","Manchester","Middle Eastern Game Pie",3,"STAR BAKER","Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
6,7,"Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",NA,NA,NA,NA
6,7,"Dorret","Conway",53,"Accountant","Penwortham, Lancashire",NA,NA,NA,NA
6,7,"Marie","Campbell",66,"Retired","Auchterarder, Perthshire",NA,NA,NA,NA
6,7,"Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",NA,NA,NA,NA
6,7,"Stu","Henshall",35,"Professional musician","Guildford, Surrey",NA,NA,NA,NA
6,7,"Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,8,"Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns",3,"IN","Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne"
6,8,"Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Mont Blanc & Black Forest Gâteau Horns",2,"IN","Nun with Hidden Passions"
6,8,"Tamal","Ray",29,"Trainee anaesthetist","Manchester","Lime & Mascarpone and Malt Cream Horns",4,"IN","Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne"
6,8,"Paul","Jagger",49,"Prison governor","Swansea, Wales","Café Tipple & Banana Crunch-away Horns",5,"OUT","Religieuse à l'ancienne"
6,8,"Nadiya","Hussain",30,"Full-time mother","Leeds / Luton","Rose Pistachio and Mocha Hazelnut Horns",1,"STAR BAKER","Bubble Gum and Peppermint Cream Religieuse à l'ancienne"
6,8,"Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",NA,NA,NA,NA
6,8,"Dorret","Conway",53,"Accountant","Penwortham, Lancashire",NA,NA,NA,NA
6,8,"Marie","Campbell",66,"Retired","Auchterarder, Perthshire",NA,NA,NA,NA
6,8,"Mat","Riley",37,"Fire fighter","London",NA,NA,NA,NA
6,8,"Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",NA,NA,NA,NA
6,8,"Stu","Henshall",35,"Professional musician","Guildford, Surrey",NA,NA,NA,NA
6,8,"Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,9,"Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Chocolate and Bay Tart",3,"IN","Chocolate Well"
6,9,"Tamal","Ray",29,"Trainee anaesthetist","Manchester","Chocolate New York Pie",2,"IN","Chocolate Bell Tower"
6,9,"Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Passion Fruit and Chocolate Tart",1,"OUT","Cocoa Carousel"
6,9,"Nadiya","Hussain",30,"Full-time mother","Leeds / Luton","Peanut Salted Caramel and Chocolate Tart",4,"STAR BAKER","Peacock in Nan's Door"
6,9,"Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",NA,NA,NA,NA
6,9,"Dorret","Conway",53,"Accountant","Penwortham, Lancashire",NA,NA,NA,NA
6,9,"Marie","Campbell",66,"Retired","Auchterarder, Perthshire",NA,NA,NA,NA
6,9,"Mat","Riley",37,"Fire fighter","London",NA,NA,NA,NA
6,9,"Paul","Jagger",49,"Prison governor","Swansea, Wales",NA,NA,NA,NA
6,9,"Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",NA,NA,NA,NA
6,9,"Stu","Henshall",35,"Professional musician","Guildford, Surrey",NA,NA,NA,NA
6,9,"Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,10,"Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Elderflower and Lemon & Spiced Buns",2,"Runner-up","Colossal Curvy Carrot Cake"
6,10,"Tamal","Ray",29,"Trainee anaesthetist","Manchester","Cinnamon and Apple & Toffee and Marmalade Iced Buns",3,"Runner-up","Sticky Toffee Pudding Cake"
6,10,"Nadiya","Hussain",30,"Full-time mother","Leeds / Luton","Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers",1,"WINNER","My Big Fat British Wedding Cake"
6,10,"Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",NA,NA,NA,NA
6,10,"Dorret","Conway",53,"Accountant","Penwortham, Lancashire",NA,NA,NA,NA
6,10,"Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",NA,NA,NA,NA
6,10,"Marie","Campbell",66,"Retired","Auchterarder, Perthshire",NA,NA,NA,NA
6,10,"Mat","Riley",37,"Fire fighter","London",NA,NA,NA,NA
6,10,"Paul","Jagger",49,"Prison governor","Swansea, Wales",NA,NA,NA,NA
6,10,"Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",NA,NA,NA,NA
6,10,"Stu","Henshall",35,"Professional musician","Guildford, Surrey",NA,NA,NA,NA
6,10,"Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
7,1,"Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake",12,"IN","'Ultimate Indulgence' Mirror Glaze Cake"
7,1,"Benjamina","Ebuehi",23,"Teaching assistant","South London","Pistachio, Cardamom and Lemon Drizzle Cake",6,"IN","White Chocolate Mirror Glaze with Salted Praline Buttercream"
7,1,"Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Raspberry and Rhubarb Drizzle Custard Bundt Cake",5,"IN","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
7,1,"Kate","Barmby",37,"Nurse","Brooke, Norfolk","Berry Best Apple and Bramble Drizzle Cake",4,"IN","One Swallow Does Not Make A Summer Cake"
7,1,"Louise","Williams",46,"Hairdresser","Cardiff","Orange Liqueur and Lemonade Drizzle Cake",9,"IN","White Chocolate Trifle Mirror Glaze Cake"
7,1,"Michael","Georgiou",20,"Student","Durham","Lime, Ginger and Honey Drizzle Cake",3,"IN","Matcha Tea Chocolate Mirror Glaze"
7,1,"Rav","Bansal",28,"Student support","Erith","Ginger Spice Yuzu Drizzle Cake",8,"IN","Colombian Mocha Mirror Glaze Cake"
7,1,"Selasi","Gbormittah",30,"Client service associate","London","Citrus and Spice Drizzle Cake",1,"IN","Raspberry, Sloe and White Chocolate Mirror Glaze Cake"
7,1,"Tom","Gilliford",26,"Project engagement manager","Rochdale","G&T Drizzle Cake",2,"IN","Black Forest Broken Mirror"
7,1,"Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil","Mum's Orange and Lemon Drizzle",10,"IN","Chocolate Sponge with Four Fruit Frosting"
7,1,"Lee","Banfield",67,"Pastor","Bolton","St. Clements Orange and Lemon Drizzle Cake",11,"OUT","Strawberry Surprise Mirror Cake"
7,1,"Jane","Beedle",61,"Garden designer","Beckenham","Lemon and Poppy Seed Drizzle Cake",7,"STAR BAKER","Chocolate Orange Mirror Cake"
7,2,"Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits",4,"IN","Punting in Cambridge"
7,2,"Benjamina","Ebuehi",23,"Teaching assistant","South London","Bouquet Biscuits",3,"IN","New York, New York"
7,2,"Jane","Beedle",61,"Garden designer","Beckenham","Flower Pot Iced Biscuits",2,"IN","Hastings Old Town Fishing Net Shops and Boat"
7,2,"Kate","Barmby",37,"Nurse","Brooke, Norfolk","""A Biscuit for the Broads""",1,"IN","""I Promise I will do my best"""
7,2,"Michael","Georgiou",20,"Student","Durham","Malt, Chocolate and Orange Iced ""Beer"" Biscuits",9,"IN","Trip to See Santa in Lapland"
7,2,"Rav","Bansal",28,"Student support","Erith","Union Jack Bunting Biscuits",6,"IN","Gingerbread Christmas Fairground"
7,2,"Selasi","Gbormittah",30,"Client service associate","London","""Wheelie Hot Iced Biscuits""",11,"IN","Stained Glass Window Gingerbread Church"
7,2,"Tom","Gilliford",26,"Project engagement manager","Rochdale","Chai Frappelatteccino Biscuits",7,"IN","Tom and Pod's Near Death Experience"
7,2,"Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil","Sunday Treat Iced Ice Cream Cone Biscuits",5,"IN","From Holland to New York via Yorkshire"
7,2,"Louise","Williams",46,"Hairdresser","Cardiff","Baa Bara Brith Biscuits",10,"OUT","Gingerbread Wedding"
7,2,"Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Salted Caramel, Chocolate Iced Shiny Hearts",8,"STAR BAKER","Gingerbread Pub with Sticky Ginger Carpet"
7,2,"Lee","Banfield",67,"Pastor","Bolton",NA,NA,NA,NA
7,3,"Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread",2,"IN","Braided Harvest Bread Basket"
7,3,"Benjamina","Ebuehi",23,"Teaching assistant","South London","Chocolate, Tahini and Almond Babka",6,"IN","Braided Bread Heart"
7,3,"Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",3,"IN","Italian Light and Dark Rye Twist"
7,3,"Jane","Beedle",61,"Garden designer","Beckenham","Chocolate and Cranberry Couronne",9,"IN","Chorizo and Chilli Flower with Parmesan and Pesto Centre"
7,3,"Kate","Barmby",37,"Nurse","Brooke, Norfolk","Cobbled Loaf",8,"IN","The Corn Maiden"
7,3,"Rav","Bansal",28,"Student support","Erith","Chocolate, Cardamom and Hazelnut Loaf",10,"IN","Three Tier Diwali Bread Centrepiece"
7,3,"Selasi","Gbormittah",30,"Client service associate","London","Chocolate, Orange and Cinnamon Bread",5,"IN","Bedouin Escape Tear and Share Bread"
7,3,"Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil","Double Chocolate Cinnamon Twist Loaf",1,"IN","""And They All Went Into The Ark To Get Out Of The Rain"""
7,3,"Michael","Georgiou",20,"Student","Durham","Chocolate and Chilli Swirl Plait",7,"OUT","Cypriot Dove and Olive Branch Plaited Loaf with Houmous"
7,3,"Tom","Gilliford",26,"Project engagement manager","Rochdale","Chocolate Orange and Chilli Swirl Bread",4,"STAR BAKER","Jörmungandr and Mjölnir"
7,3,"Lee","Banfield",67,"Pastor","Bolton",NA,NA,NA,NA
7,3,"Louise","Williams",46,"Hairdresser","Cardiff",NA,NA,NA,NA
7,4,"Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings",4,"IN","Churros Window Box"
7,4,"Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Yorkshire Wellingtons",2,"IN","Two-Way Peanut Butter Churros"
7,4,"Jane","Beedle",61,"Garden designer","Beckenham","Meat and Two Veg Yorkshires",3,"IN","Pistachio and White Chocolate Churros"
7,4,"Rav","Bansal",28,"Student support","Erith","Thai Tofu Panang Yorkshires",9,"IN","Three Dip Matcha Pistachio Churros"
7,4,"Selasi","Gbormittah",30,"Client service associate","London","Perfect Sunday Roast Accompaniment",8,"IN","Lemon and Anise Churros"
7,4,"Tom","Gilliford",26,"Project engagement manager","Rochdale","West Yorkshire Fusion Puddings",5,"IN","Fennel Churros Snake In The Grass"
7,4,"Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil","Mum's Chilli Yorkshire Puddings",6,"IN","Orange Chocolate Churros"
7,4,"Kate","Barmby",37,"Nurse","Brooke, Norfolk","Christmas Dinner Compromise",7,"OUT","Hot Cross Bunny Churros"
7,4,"Benjamina","Ebuehi",23,"Teaching assistant","South London","Red Onion Chutney, Brie and Bacon Yorkshire Puddings",1,"STAR BAKER","Tropical Churros"
7,4,"Lee","Banfield",67,"Pastor","Bolton",NA,NA,NA,NA
7,4,"Louise","Williams",46,"Hairdresser","Cardiff",NA,NA,NA,NA
7,4,"Michael","Georgiou",20,"Student","Durham",NA,NA,NA,NA
7,5,"Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries",6,"IN","Spicy Chorizo Squash Parcels and Baklava Bites"
7,5,"Benjamina","Ebuehi",23,"Teaching assistant","South London","'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels",5,"IN","Plantain and Spinach Samosas and Chai Pear Cups"
7,5,"Jane","Beedle",61,"Garden designer","Beckenham","Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish",1,"IN","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
7,5,"Rav","Bansal",28,"Student support","Erith","Cinnamon Swirls and Pecan, Walnut and Maple Plaits",8,"IN","Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas"
7,5,"Selasi","Gbormittah",30,"Client service associate","London","Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels",3,"IN","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
7,5,"Tom","Gilliford",26,"Project engagement manager","Rochdale","Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers",4,"IN","Yin and Yang Amuse-bouche"
7,5,"Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil","Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls",7,"OUT","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels"
7,5,"Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish",2,"STAR BAKER","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
7,5,"Kate","Barmby",37,"Nurse","Brooke, Norfolk",NA,NA,NA,NA
7,5,"Lee","Banfield",67,"Pastor","Bolton",NA,NA,NA,NA
7,5,"Louise","Williams",46,"Hairdresser","Cardiff",NA,NA,NA,NA
7,5,"Michael","Georgiou",20,"Student","Durham",NA,NA,NA,NA
7,6,"Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Tangy Lime and Ginger Meringue Pie",6,"IN","Spring Elderflower Trio"
7,6,"Benjamina","Ebuehi",23,"Teaching assistant","South London","Grapefruit and Ginger Meringue Pie",2,"IN","Floral Tea Cake"
7,6,"Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Lime, Coconut and Lemongrass Sugar Meringue Pie",5,"IN","Four Seasons Cake"
7,6,"Jane","Beedle",61,"Garden designer","Beckenham","Lime and Coconut Meringue Pie",4,"IN","Three Tier Orange Cake with a Floral Chocolate Collar"
7,6,"Selasi","Gbormittah",30,"Client service associate","London","Grapefruit, Orange and Mint Meringue Pie",7,"IN","Three Tiered Ombré Floral Cake"
7,6,"Rav","Bansal",28,"Student support","Erith","Mandarin Margarita Meringue Pie",3,"OUT","Blossom Cake"
7,6,"Tom","Gilliford",26,"Project engagement manager","Rochdale","Blood Orange Halloween Pumpkin Pie",1,"STAR BAKER","Floral Tea Cake"
7,6,"Kate","Barmby",37,"Nurse","Brooke, Norfolk",NA,NA,NA,NA
7,6,"Lee","Banfield",67,"Pastor","Bolton",NA,NA,NA,NA
7,6,"Louise","Williams",46,"Hairdresser","Cardiff",NA,NA,NA,NA
7,6,"Michael","Georgiou",20,"Student","Durham",NA,NA,NA,NA
7,6,"Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",NA,NA,NA,NA
7,7,"Benjamina","Ebuehi",23,"Teaching assistant","South London","Piña Colada Roulade",3,"IN","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake"
7,7,"Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Crowd Pleaser Roulade",2,"IN","Blackberry and Raspberry Bubbles and After Dinner Mousse"
7,7,"Jane","Beedle",61,"Garden designer","Beckenham","Chocolate and Hazelnut Roulade",4,"IN","Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses"
7,7,"Selasi","Gbormittah",30,"Client service associate","London","Summer Picnic Roulade",6,"IN","Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes"
7,7,"Tom","Gilliford",26,"Project engagement manager","Rochdale","Millionaire's Roulade",5,"OUT","Hipster Picnic"
7,7,"Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Tropical Holiday Roulade",1,"STAR BAKER","Childhood Ice Cream Mousse Cakes"
7,7,"Kate","Barmby",37,"Nurse","Brooke, Norfolk",NA,NA,NA,NA
7,7,"Lee","Banfield",67,"Pastor","Bolton",NA,NA,NA,NA
7,7,"Louise","Williams",46,"Hairdresser","Cardiff",NA,NA,NA,NA
7,7,"Michael","Georgiou",20,"Student","Durham",NA,NA,NA,NA
7,7,"Rav","Bansal",28,"Student support","Erith",NA,NA,NA,NA
7,7,"Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",NA,NA,NA,NA
7,8,"Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Da Vinci Inspired Geared Pies",2,"IN","Jousting Knights Marchpane"
7,8,"Jane","Beedle",61,"Garden designer","Beckenham","Tudor Rose Pies",5,"IN","Swans"
7,8,"Selasi","Gbormittah",30,"Client service associate","London","Bouquet of Flowers",3,"IN","Fruity Tudor Marchpane"
7,8,"Benjamina","Ebuehi",23,"Teaching assistant","South London","Mexican Adventure",4,"OUT","Tudor Garden"
7,8,"Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Cheesy Cheeky Fish Pies",1,"STAR BAKER","Peacock"
7,8,"Kate","Barmby",37,"Nurse","Brooke, Norfolk",NA,NA,NA,NA
7,8,"Lee","Banfield",67,"Pastor","Bolton",NA,NA,NA,NA
7,8,"Louise","Williams",46,"Hairdresser","Cardiff",NA,NA,NA,NA
7,8,"Michael","Georgiou",20,"Student","Durham",NA,NA,NA,NA
7,8,"Rav","Bansal",28,"Student support","Erith",NA,NA,NA,NA
7,8,"Tom","Gilliford",26,"Project engagement manager","Rochdale",NA,NA,NA,NA
7,8,"Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",NA,NA,NA,NA
7,9,"Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",3,"IN","Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies"
7,9,"Jane","Beedle",61,"Garden designer","Beckenham","Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",1,"IN","Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies"
7,9,"Selasi","Gbormittah",30,"Client service associate","London","Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",4,"OUT","Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies"
7,9,"Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Cheesy Elephant Ears and Herby Treble Clefs",2,"STAR BAKER","Philharmonic Fondants"
7,9,"Benjamina","Ebuehi",23,"Teaching assistant","South London",NA,NA,NA,NA
7,9,"Kate","Barmby",37,"Nurse","Brooke, Norfolk",NA,NA,NA,NA
7,9,"Lee","Banfield",67,"Pastor","Bolton",NA,NA,NA,NA
7,9,"Louise","Williams",46,"Hairdresser","Cardiff",NA,NA,NA,NA
7,9,"Michael","Georgiou",20,"Student","Durham",NA,NA,NA,NA
7,9,"Rav","Bansal",28,"Student support","Erith",NA,NA,NA,NA
7,9,"Tom","Gilliford",26,"Project engagement manager","Rochdale",NA,NA,NA,NA
